"NCR_PD_BAND_ID","NCR_PD_BAND_KEY_VAL","NCR_EXPSR_CL_KEY_VAL","PD_MAX_VAL","PD_MIN_VAL","FRS_CD","PD_MIN_VAL_DESC","EFF_FROM_YR_MTH","PD_MAX_VAL_DESC","EFF_TO_YR_MTH","PD_BAND_EXPSR_CL_DESC","NCR_PD_BAND_DESC","PD_BAND","CRNT_F","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
17057,"1405","0504",0.00593300,0.00410000,"5         ","0.4100%","200010","0.5933%","999912",Total QRRE,PD Band 5,"5         ",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17058,"1406","0504",0.00752500,0.00593400,"6         ","0.5934%","200010","0.7525%","999912",Total QRRE,PD Band 6,"6         ",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17059,"1407","0504",0.01201700,0.00752600,"7         ","0.7526%","200010","1.2017%","999912",Total QRRE,PD Band 7,"7         ",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17060,"1408","0504",0.01863200,0.01201800,"8         ","1.2018%","200010","1.8632%","999912",Total QRRE,PD Band 8,"8         ",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17041,"1406","0507",0.01309800,0.00689800,"6         ","0.6898%","200010","1.3098%","999912",Other Retail,PD Band 6,"6         ",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17042,"1407","0507",0.01836600,0.01309900,"7         ","1.3099%","200010","1.8366%","999912",Other Retail,PD Band 7,"7         ",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17043,"1408","0507",0.02194100,0.01836700,"8         ","1.8367%","200010","2.1941%","999912",Other Retail,PD Band 8,"8         ",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17044,"1409","0507",0.03423800,0.02194200,"9         ","2.1942%","200010","3.4238%","999912",Other Retail,PD Band 9,"9         ",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17045,"1410","0507",0.06965800,0.03423900,"10        ","3.4239%","200010","6.9658%","999912",Other Retail,PD Band 10,"10        ",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17046,"1411","0507",0.17062800,0.06965900,"11        ","6.9659%","200010","17.0628%","999912",Other Retail,PD Band 11,"11        ",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17047,"1412","0507",0.31183000,0.17062900,"12        ","17.0629%","200010","31.1830%","999912",Other Retail,PD Band 12,"12        ",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17048,"1413","0507",0.64302000,0.31183100,"13        ","31.1831%","200010","64.3020%","999912",Other Retail,PD Band 13,"13        ",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17049,"1414","0507",0.99999900,0.64302100,"14        ","64.3021%","200010","99.9999%","999912",Other Retail,PD Band 14,"14        ",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17050,"1426","0507",1.00000000,1.00000000,"26        ","100.0000%","200010","100.0000%","999912",Other Retail,Defaulted - 100%,"26        ",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17081,"1412","0500",,,"12        ",,"200010",,"999912",Total Retail,PD Band 12,"12        ",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17082,"1413","0500",,,"13        ",,"200010",,"999912",Total Retail,PD Band 13,"13        ",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17083,"1414","0500",,,"14        ",,"200010",,"999912",Total Retail,PD Band 14,"14        ",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17084,"1426","0500",,,"26        ",,"200010",,"999912",Total Retail,Defaulted - 100%,"26        ",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
